               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081715,            0.034326,            0.033694,             0.25388,             0.43138,             0.30146,             0.10219,            0.064869,            0.021915,            0.020025,             0.00175,             0.00175,             0.08425
                   1,            0.065604,            0.022982,            0.016854,             0.36257,             0.42785,             0.35394,             0.11549,            0.060912,            0.014721,            0.011191,           0.0034906,           0.0034906,            0.068391
                   2,            0.067441,            0.016519,            0.011272,             0.59947,             0.49372,             0.58761,             0.22378,            0.064015,            0.010421,            0.006643,           0.0051539,           0.0051539,            0.052454
                   3,            0.064993,            0.013594,           0.0084438,             0.59852,             0.59366,             0.64435,             0.24705,            0.062163,           0.0095381,           0.0064795,           0.0066852,           0.0066852,            0.036385
                   4,            0.063592,            0.012844,           0.0067903,             0.46034,             0.66495,              0.5817,             0.19153,            0.062082,           0.0084421,            0.004856,           0.0080346,           0.0080346,            0.020135
                   5,            0.058799,            0.012009,           0.0062613,             0.46422,             0.68305,              0.6388,             0.23734,            0.054771,           0.0081864,           0.0037444,            0.008682,            0.008682,            0.008682
                   6,            0.050042,            0.011514,           0.0052091,             0.63655,             0.84522,             0.81123,             0.42385,             0.03913,           0.0077664,           0.0031954,            0.008682,            0.008682,            0.008682
                   7,            0.044313,            0.010727,            0.004437,             0.79795,             0.81828,             0.83462,             0.46192,            0.037348,            0.007119,           0.0028685,            0.008145,            0.008145,            0.008145
                   8,             0.03846,           0.0091711,           0.0036758,             0.82498,             0.90454,             0.89313,               0.522,            0.029873,           0.0069884,           0.0027552,            0.007543,            0.007543,            0.007543
                   9,            0.032901,           0.0098099,           0.0033075,             0.78717,             0.93727,              0.9137,             0.57101,            0.029529,           0.0066737,           0.0025103,           0.0068906,           0.0068906,           0.0068906
                  10,            0.032325,           0.0096774,           0.0034796,              0.9561,             0.89945,             0.93855,             0.62763,            0.027261,            0.006338,           0.0019331,            0.006204,            0.006204,            0.006204
                  11,              0.0275,           0.0090022,           0.0025964,             0.96506,             0.94528,             0.95315,             0.71706,            0.025014,           0.0060319,           0.0019104,              0.0055,              0.0055,              0.0055
                  12,             0.02574,           0.0086939,           0.0024679,             0.98326,             0.94338,             0.98328,             0.69323,            0.020676,           0.0056867,           0.0017534,            0.004796,            0.004796,            0.004796
                  13,            0.022581,           0.0081018,           0.0020459,              0.9584,             0.95142,             0.98323,             0.73828,            0.018336,           0.0054976,            0.001506,           0.0041094,           0.0041094,           0.0041094
                  14,             0.02003,           0.0077661,           0.0017517,             0.92105,             0.98307,             0.97037,             0.73899,            0.019766,           0.0055824,           0.0012229,            0.003457,            0.003457,            0.003457
                  15,             0.01874,           0.0074981,           0.0014992,             0.95966,             0.92725,             0.97009,             0.73835,            0.016956,           0.0055112,           0.0011971,            0.002855,            0.002855,            0.002855
                  16,            0.016886,           0.0074763,           0.0013871,             0.99334,             0.92408,             0.95999,             0.73157,            0.016123,            0.005268,           0.0010082,            0.002318,            0.002318,            0.002318
                  17,            0.015924,           0.0072955,             0.00137,              0.9783,             0.92416,              0.9762,             0.76598,            0.015379,           0.0050645,          0.00088545,           0.0018594,           0.0018594,           0.0018594
                  18,             0.01444,           0.0067866,           0.0011699,             0.96491,             0.94124,             0.97572,             0.77748,            0.014026,           0.0049342,          0.00077809,           0.0014905,           0.0014905,           0.0014905
                  19,            0.013994,           0.0062953,           0.0010549,             0.96146,             0.94245,             0.96064,              0.7722,            0.014287,           0.0049071,          0.00071597,           0.0012202,           0.0012202,           0.0012202
